,locality
950,Suddagunte Palya Ward
951,Suddagunte Palya Ward
952,Prakash Nagar Ward
953,Jaraganahalli Ward
954,Agaram
955,Adugodi
956,Varthur
957,Lakkasandra
958,BTM Layout
959,Madiwala
960,Kaggadasapura
961,Munekolala
962,Attiguppe
963,Srinagar
964,Madiwala
965,Jeevanbhima Nagar
966,Vishveshwara Puram
967,Madiwala
968,Govindaraj Nagar
969,Shivanagara
970,Bellanduru
971,HSR Layout
972,Adugodi
973,Kottigepalya
974,Hosa Tippasandra
975,Banashankari
976,Maruthi Seva Nagar
977,Kaggadasapura
978,Jakkasandra
979,Jakkasandra
980,Chikkalasandra
981,Sudhama Nagara
982,Varthur
983,Ejipura
984,Vannarpetai
985,Jakkasandra
986,Jogupalya
987,Pattabhiram Nagar
988,Marathahalli
989,Dattatreya Temple Ward
990,Jayanagar
991,Rajarajeshwari Nagar
992,Rajarajeshwari Nagar
993,Sarakki
994,Ramagondanahalli
995,Gayatri Nagar
996,Jakkasandra
997,Benniganahalli Ward
998,Munekolala
999,Hagadur
1000,Chikkalasandra
1001,Dodda Nekkundi
1002,Bommanahalli
1003,Bhuvaneshwari Nagar
1004,Suddagunte Palya Ward
1005,Banashankari
1006,Ejipura
1007,Banashankari
1008,GM Palya
1009,Hoysala Nagara
1010,HSR Layout
1011,Vignananagar
1012,HSR Layout
1013,Kottigepalya
1014,Rajarajeshwari Nagar
1015,Vimanapura
1016,Hosakerehalli
1017,Srinagar
1018,Jnana Bharathi
1019,Hagadur
1020,Mahadevapura
1021,Bellanduru
1022,Hagadur
1023,Deepanjali Nagar
1024,Jeevanbhima Nagar
1025,Marathahalli
1026,Koramangala
1027,Marenahalli
1028,Banashankari
1029,HSR Layout
1030,HSR Layout
1031,Koramangala
1032,Kumaraswamy Layout
1033,Dodda Nekkundi
1034,Hampi Nagar
1035,Yemaluru
1036,Varthur
1037,Konena Agrahara Ward
1038,Jakkasandra
1039,Marenahalli
1040,Madiwala
1041,Domlur
1042,Jayanagar
1043,Devarabeesanahalli
1044,Konena Agrahara Ward
1045,HSR Layout
1046,HSR Layout
1047,Ejipura
1048,Jayanagar
1049,Bellanduru
1050,HAL Airport Ward
1051,Basavanagudi
1052,Hoysala Nagara
1053,Kaggadasapura
1054,Karisandra Ward
1055,Rajarajeshwari Nagar
1056,Banashankari
1057,Jaraganahalli Ward
1058,Madiwala
1059,Hoysala Nagara
1060,Kamakshi Palya
1061,Ejipura
1062,Bellanduru
1063,Lal Bahadur Shastri Nagar
1064,Vidyapeeta ward
1065,Thyagaraja Nagar
1066,Dodda Nekkundi
1067,Shakthi Ganapathi Nagar Ward
1068,Koramangala
1069,BTM Layout
1070,Cox Town
1071,Konena Agrahara Ward
1072,Rajarajeshwari Nagar
1073,Dodda Nekkundi
1074,Konena Agrahara Ward
1075,Madiwala
1076,Shakambari Nagar
1077,Yelchenahalli Ward
1078,Sunkenahalli Ward
1079,Sriramamandir Ward
1080,Bommanahalli
1081,Adugodi
1082,Munekolala
1083,Chikkalasandra
1084,BTM Layout
1085,Hoysala Nagara
1086,Bellanduru
1087,Vasanth Nagar
1088,Lal Bahadur Shastri Nagar
1089,Ittamadu
1090,Pattabhiram Nagar
1091,Dodda Nekkundi
1092,Koramangala
1093,Ejipura
1094,Adugodi
1095,Varthur
1096,HSR Layout
1097,Hosa Tippasandra
1098,BTM Layout
1099,AGS Layout
1100,Vasanth Nagar
1101,Dodda Nekkundi
1102,Munekolala
1103,Varthur
1104,Kaggadasapura
1105,Jogupalya
1106,Others
1107,AECS Layout
1108,Sriramamandir Ward
1109,Hosa Tippasandra
1110,Suddagunte Palya Ward
1111,Malleswaram
1112,Others
1113,Hombegowda Nagara
1114,Others
1115,JP Nagar
1116,Sarakki
1117,Ambalipura
1118,Srinagar
1119,Bellanduru
1120,JP Nagar
1121,Madiwala
1122,Vishveshwara Puram
1123,Bommanahalli
1124,Shanthi Nagar
1125,Hombegowda Nagara
1126,Lal Bahadur Shastri Nagar
1127,Gayatri Nagar
1128,Hosakerehalli
1129,Katriguppe
1130,Marenahalli
1131,Vignananagar
1132,Vannarpetai
1133,Srinagar
1134,Bhuvaneshwari Nagar
1135,Dattatreya Temple Ward
1136,Srinagar
1137,BTM Layout
1138,Others
1139,Jeevanbhima Nagar
1140,Kumaraswamy Layout
1141,Marathahalli
1142,Others
1143,Rajajinagar
1144,Narayanapura
1145,Jayanagar
1146,Deepanjali Nagar
1147,Shanthi Nagar
1148,Others
1149,Hagadur
1150,Mangammanapalya
1151,HSR Layout
1152,Srinivasapura
1153,Kaggadasapura
1154,Lal Bahadur Shastri Nagar
1155,AECS Layout
1156,Maruthi Seva Nagar
1157,Jakkasandra
1158,Munekolala
1159,Jnana Bharathi
1160,Marathahalli
1161,Kaggadasapura
1162,Halasuru
1163,Chamarajpet
1164,Konena Agrahara Ward
1165,Bommanahalli
1166,Maruthi Seva Nagar
1167,Ejipura
1168,Pattabhiram Nagar
1169,BTM Layout
1170,Mahadevapura
1171,Gayatri Nagar
1172,HSR Layout
1173,GM Palya
1174,Hoodi
1175,Halasuru
1176,ISRO Layout
1177,Banashankari
1178,Hombegowda Nagara
1179,Puttenahalli
1180,HSR Layout
1181,Shanthala Nagar
1182,Madiwala
1183,Bommanahalli
1184,Varthur
1185,Kottigepalya
1186,Udaya Nagar
1187,Basavanagudi
1188,Jakkasandra
1189,HAL Airport Ward
1190,Ejipura
1191,Madiwala
1192,Rajarajeshwari Nagar
1193,Marathahalli
1194,Vignananagar
1195,Maruthi Mandir ward
1196,Rajarajeshwari Nagar
1197,Sriramamandir Ward
1198,Vijayanagar
1199,Madiwala
1200,Madiwala
1201,Kaggadasapura
1202,Bommanahalli
1203,Konena Agrahara Ward
1204,Domlur
1205,Rajajinagar
1206,Basavanagudi
1207,Gurappanapalya Ward
1208,Devasandra
1209,Dattatreya Temple Ward
1210,Vignananagar
1211,Madiwala
1212,Hongasandra
1213,Jogupalya
1214,Yemaluru
1215,Hosahalli
1216,Jaraganahalli Ward
1217,Madiwala
1218,BTM Layout
1219,Shivanagara
1220,Jeevanbhima Nagar
1221,Koramangala
1222,Koramangala
1223,HSR Layout
1224,Narayanapura
1225,Bellanduru
1226,Bilekahalli
1227,Bellanduru
1228,Hosa Tippasandra
1229,Jnana Bharathi
1230,Udaya Nagar
1231,Bhuvaneshwari Nagar
1232,Pattabhiram Nagar
1233,Halasuru
1234,Gayatri Nagar
1235,Sarakki
1236,Others
1237,HAL Airport Ward
1238,BTM Layout
1239,Lakkasandra
1240,Deepanjali Nagar
1241,Dodda Nekkundi
1242,Kadugodi
1243,Vannarpetai
1244,Varthur
1245,Srinivasapura
1246,AGS Layout
1247,Kadugodi
1248,Sarakki
1249,Bhuvaneshwari Nagar
1250,Ittamadu
1251,Kodihalli
1252,HSR Layout
1253,Adugodi
1254,Hosa Tippasandra
1255,Agaram
1256,Adugodi
1257,Adugodi
1258,Koramangala
1259,Nagarabhavi
1260,JP Nagar
1261,Shanthi Nagar
1262,Hosa Tippasandra
1263,Suddagunte Palya Ward
1264,Basavanagudi
1265,Haralur
1266,Sarakki
1267,Cleveland Town
1268,Chikkalasandra
1269,Jaraganahalli Ward
1270,Kadugodi
1271,Shakambari Nagar
1272,Benniganahalli Ward
1273,Brookefields
1274,Dattatreya Temple Ward
1275,Bhuvaneshwari Nagar
1276,Jakkasandra
1277,HAL Airport Ward
1278,Varthur
1279,Bellanduru
1280,Katriguppe
1281,Kamakshi Palya
1282,Hongasandra
1283,AGS Layout
1284,Bommanahalli
1285,Deepanjali Nagar
1286,HAL Airport Ward
1287,Dodda Nekkundi
1288,BTM Layout
1289,Mangammanapalya
1290,Bommanahalli
1291,Bhuvaneshwari Nagar
1292,Frazer Town
1293,Panathur
1294,Varthur
1295,Konena Agrahara Ward
1296,JP Nagar
1297,BTM Layout
1298,HAL Airport Ward
1299,Konena Agrahara Ward
1300,HSR Layout
1301,Haralur
1302,Varthur
1303,Yelchenahalli Ward
1304,Vishveshwara Puram
1305,Madiwala
1306,Ejipura
